+0000000000005000                                       3                   2                                                                               PROYECTOS VIALTO S.L.                                                                                                                                                                                                                          02           B54065529                                                                                                                                                                                                                                                   ALACANT           670702186                                aldaria@aldaria.es+00003203                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005001                                      28                   2                                                                   CONSULTING 2001 INMOBILIARIA, S.L                                                                                                                                                                                                                          02           B81235418                                                                                                                                                                                                                                                    EUROPA           918300380                 administracion@consulting2001.com+00028850                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005002                                      28                   2                                                                                          CRUNOR, SA                                                                                                                                                                                                                          02           A33356858                                                                                                                                                                                                                                                    VARGAS           666433183                                    pgb@crunor.com+00028003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005003                                      28                   2                                                                     GRUPO EMPRESARIAL CANALES, S.L.                                                                                                                                                                                                                          02           B28582229                                                                                                                                                                                                                                      CASTILLO DE TUREGANO           916404160                               gch@grupocanales.es+00028230                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005004                                      28                   2                                                                                     INMOLINCE, S.L.                                                                                                                                                                                                                          02           B84751072                                                                                                                                                                                                                                               ORCHANDIANO           636931558                                  lualca@lualca.es+00028023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005005                                      28                   2                                                                         COMUNIDADES CASTELLANAS, SA                                                                                                                                                                                                                          02           A80040348                                                                                                                                                                                                                                                 CALERUEGA           913830546                       comercial@comcastellana.com+00028033                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005006                                      28                   2                                                             ARCO 2000 TERRENOS Y EDIFICACIONES, SLU                                                                                                                                                                                                                          02           B83483057                                                                                                                                                                                                                                          JOSEFA VALCARCEL           647425884                               carlosf@arco2000.es+00028027                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005007                                      28                   2                                                                                  NORSIERRA PARTNERS                                                                                                                                                                                                                          02           B80826951                                                                                                                                                                                                                                         MAURICIO LEGENDRE           609141538                                juanmanz@gmail.com+00028046                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005009                                      19                   2                                                                                 MARGON GESTIRED S L                                                                                                                                                                                                                          02           B19171503                                                                                                                                                                                                                                           BOIXAREU RIVERA           628582526                         s.sanchez@grupomargon.com+00019001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
+0000000000005010                                      28                   2                                                                    SAN SEGUNDO GRUPO EMPRESARIAL SL                                                                                                                                                                                                                          02           B05166368                                                                                                                                                                                                                                           MELENDEZ VALDES           606337111                         sansegundogrupo@gmail.com+00028015                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
