+0000000100000002               28079                  28                  02                                                            SAREB-SOC PROM SOC GEST ACTIV REEST BANC                                                                                                                                                                                                                          02           A86602158                                                                                                                                                                                                                                          Paseo Castellana                                                                      +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +1
+0000000000000014               28079                  28                  02                                                              LAFORMATA SERVICIOS Y GESTIONES S.L.U.                                                                                                                                                                                                                          02           B86845179                                                                                                                                                                                                                       VIA DE LOS POBLADOS Nº 3 EDIFICIO 9                                                                      +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000000076               46250                  46                  02                                                                                             GIESMED                                                                                                                                                                                                                          02           B97135503                                                                                                                                                                                                                                             DE LA ALAMEDA                                                                      +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003177                                      35                  02                                                            CAJA RURAL DE CANARIAS, S.COOP.DE CREDIT                                                                                                                                                                                                                          02           F35040278                                                                                                                                                                                                                                         NICOLAS ESTEVANEZ           928277000                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000000001                4013                   4                  02                                                                   CIMENTA2 GESTION E INVERSIONES SL                                                                                                                                                                                                                          02           B04661484                                                                                                                                                                                                                                                DE ALMERIA           950275350                                 INFO@CIMENTA2.COM+00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000000002                                       0                  02                                                                               PROMOCIONES ASISTIDAS                                                                                                                                                                                                                          02                   .                                                                                                                                                                                                                                                         .                                                                      +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000000070                                       0                  02                                                                                             AGUAMAR                                                                                                                                                                                                                          02                  1R                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000000999               28079                  28                  02                                                                                    SOCIEDAD EJEMPLO                                                                                                                                                                                                                          02           B12345678                                                                                                                                                                                                                                              ROSARIO PINO           911234567                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003029                3104                   3                  02                                                            CAJA DE CREDITO DE PETREL CAJA RURAL CCV                                                                                                                                                                                                                          02           F03014982                                                                                                                                                                                                                                             SAN BARTOLOME           966952780                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003058                4013                   4                  02                                                                           CAJAMAR CAJA RURAL S.C.C.                                                                                                                                                                                                                          02           F04743175                                                                                                                                                                                                                                              DE BARCELONA           950210100                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003123               46248                  46                  02                                                                            CAIXA RURAL DE TURIS CCV                                                                                                                                                                                                                          02           F46027504                                                                                                                                                                                                                                              CONSTITUCION           962526061                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003137               46089                  46                  02                                                                      CAJA RURAL DE CASINOS SOC. CCV                                                                                                                                                                                                                          02           F46043808                                                                                                                                                                                                                                                     MAYOR           962700008                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003186               46009                  46                  02                                                                                       CAIXA ALBALAT                                                                                                                                                                                                                          02           F96828728                                                                                                                                                                                                                                            PADRE SALVADOR           961490437                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003045                3018                   3                  02                                                                                           CAIXALTEA                                                                                                                                                                                                                          02           F03027901                                                                                                                                                                                                                                                 LLAURADOR           965841500                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003112               12032                  12                  02                                                                                CAIXA RURAL BURRIANA                                                                                                                                                                                                                          02           F12013256                                                                                                                                                                                                                                                    EL PLA           964510927                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003105                3048                   3                  02                                                                                        CAIXACALLOSA                                                                                                                                                                                                                          02           F03042595                                                                                                                                                                                                                                                   JAUME I           965886064                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003135               12082                  12                  02                                                                                CAIXA RURAL DE NULES                                                                                                                                                                                                                          02           F12013140                                                                                                                                                                                                                                                     MAYOR           964656065                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003119                                      12                  02                                                                                       CAIXALQUERIES                                                                                                                                                                                                                          02           F12013298                                                                                                                                                                                                                                           JAIME CHICHARRO           964591717                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003121               46109                  46                  02                                                                                CAJA RURAL DE CHESTE                                                                                                                                                                                                                          02           F46025433                                                                                                                                                                                                                                                 DR. CAJAL           962515502                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003179               46031                  46                  02                                                                               CAIXA RURAL D'ALGINET                                                                                                                                                                                                                          02           F46163598                                                                                                                                                                                                                                                  VALENCIA           961751311                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003152               46258                  46                  02                                                                                CAJA RURAL DE VILLAR                                                                                                                                                                                                                          02           F46043816                                                                                                                                                                                                                                                LAS CRUCES           961646034                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003160                                      12                  02                                                                            CAIXA RURAL DE VILAVELLA                                                                                                                                                                                                                          02           F12013231                                                                                                                                                                                                                                                COVA SANTA                                                                      +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
+0000000000003095               12011                  12                  02                                                                                CAIXA RURAL ALMENARA                                                                                                                                                                                                                          02           F12013306                                                                                                                                                                                                                                             DR. BERENGUER           962610054                                                  +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +00000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        +0
