62620|Alquiler y Venta|Libre|Ordinario|||NO APLICA|
62621|Alquiler y Venta|Libre|Ordinario|||N|
62622|Alquiler y Venta|Libre|Ordinario|||N|
62689|Alquiler y Venta|Libre|Ordinario|||N|
62690|Alquiler y Venta|Libre|Ordinario|||N|
62691|Alquiler y Venta|Libre|Ordinario|||N|
62834|Alquiler y Venta|Libre|Ordinario|||N|
62835|Alquiler y Venta|Libre|Ordinario|||N|
62836|Alquiler y Venta|Libre|Ordinario|||N|
62863|Alquiler y Venta|Libre|Ordinario| | |NO APLICA|
62864|Alquiler y Venta|Libre|Ordinario|||N|
62872|Alquiler y Venta|Alquilado|Ordinario|S|Normal|N|N
62915|Alquiler y Venta|Libre|Ordinario|||N|
62916|Alquiler y Venta|Libre|Ordinario|||N|
63010|Alquiler y Venta|Libre|Ordinario|||NO APLICA|
63011|Alquiler y Venta|Libre|Ordinario| | |NO APLICA|
63020|Alquiler y Venta|Libre|Ordinario|||NO APLICA|
63061|Alquiler y Venta|Libre|Ordinario|||N|
63062|Alquiler y Venta|Libre|Ordinario|||N|
63100|Alquiler y Venta|Alquilado|Ordinario|S|Normal|N|N
63184|Alquiler y Venta|Libre|Ordinario|||N|
63185|Alquiler y Venta|Libre|Ordinario|||N|
63189|Alquiler y Venta|Libre|Ordinario|||N|
63208|Alquiler y Venta|Libre|Ordinario|||N|
63227|Alquiler y Venta|Libre|Ordinario|||NO APLICA|
63228|Alquiler y Venta|Libre|Ordinario|||NO APLICA|
63248|Alquiler y Venta|Libre|Ordinario|||N|
63324|Alquiler y Venta|Libre|Ordinario|||N|
63396|Alquiler y Venta|Alquilado|Ordinario|N|Normal|N|N
63397|Alquiler y Venta|Alquilado|Ordinario|N|Normal|N|N
63398|Alquiler y Venta|Alquilado|Ordinario|N|Normal|N|N
63399|Alquiler y Venta|Libre|Ordinario|||S|
63404|Alquiler y Venta|Libre|Ordinario|||NO APLICA|
63686|Alquiler y Venta|Libre|Ordinario|||N|
63950|Alquiler y Venta|Alquilado|Ordinario|S|Normal|N|N
64028|Alquiler y Venta|Alquilado|Ordinario|S|Normal|N|N
64486|Alquiler y Venta|Alquilado|Ordinario|S|Normal|N|N
